sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
제주도,제주시,읍면,교통,내국인관광객,30대,여,201612,2299,2615,99213085
제주도,제주시,읍면,교통,내국인관광객,30대,남,201612,4245,4893,235875647
제주도,제주시,읍면,교통,내국인관광객,20대,여,201612,1880,2120,52280929
제주도,제주시,읍면,교통,내국인관광객,20대,남,201612,1758,1956,71101189
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201701,532,637,40901282
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201701,1462,1855,130206599
제주도,제주시,읍면,교통,내국인관광객,50대,여,201701,1538,1811,100539598
제주도,제주시,읍면,교통,내국인관광객,50대,남,201701,3620,4459,307408425
제주도,제주시,읍면,교통,내국인관광객,40대,여,201701,1872,2189,107557175
제주도,제주시,읍면,교통,내국인관광객,40대,남,201701,4261,5274,349360096
제주도,제주시,읍면,교통,내국인관광객,30대,여,201701,2112,2417,96945844
제주도,제주시,읍면,교통,내국인관광객,30대,남,201701,3854,4505,230254435
제주도,제주시,읍면,교통,내국인관광객,20대,여,201701,1813,2048,53219115
제주도,제주시,읍면,교통,내국인관광객,20대,남,201701,1741,1902,65970125
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201702,417,514,32277812
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201702,1271,1579,113483152
제주도,제주시,읍면,교통,내국인관광객,50대,여,201702,1393,1647,89522912
제주도,제주시,읍면,교통,내국인관광객,50대,남,201702,3174,3837,256230729
제주도,제주시,읍면,교통,내국인관광객,40대,여,201702,1747,2015,89748507
제주도,제주시,읍면,교통,내국인관광객,40대,남,201702,3552,4367,276580818
제주도,제주시,읍면,교통,내국인관광객,30대,여,201702,1927,2210,89264892
제주도,제주시,읍면,교통,내국인관광객,30대,남,201702,3268,3787,189066526
제주도,제주시,읍면,교통,내국인관광객,20대,여,201702,2280,2549,61869161
제주도,제주시,읍면,교통,내국인관광객,20대,남,201702,2037,2211,72034588
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201703,571,700,38656431
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201703,1534,1965,127077077
제주도,제주시,읍면,교통,내국인관광객,50대,여,201703,1544,1835,88346207
제주도,제주시,읍면,교통,내국인관광객,50대,남,201703,3212,3977,243419711
제주도,제주시,읍면,교통,내국인관광객,40대,여,201703,1669,1977,86607506
제주도,제주시,읍면,교통,내국인관광객,40대,남,201703,3472,4308,267723870
제주도,제주시,읍면,교통,내국인관광객,30대,여,201703,2858,3262,107417245
제주도,제주시,읍면,교통,내국인관광객,30대,남,201703,4444,5143,226590108
